TrialOnset,PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI,Accuracy,RT,Response
4.02854879200459,5,High,MOUSE,ANIMAL,Can you find it in the wild?,2,1,4000,1,2.24749579899071,1
17.0561253970081,62,Low,MUSCLE,HUMAN PART,Is it alive?,0,0,4000,1,1.51060068199877,0
30.0524774130026,21,High,RING,ARTIFACTS,Did humans create it?,5,1,4000,0,2.43669543099531,0
43.0428199970047,2,Low,INSECT,ANIMAL,Can you hold it?,4,1,4000,1,2.42840405300376,1
56.0516556000075,29,High,PURSE,CLOTHES+ACCESS,Does it make sounds?,6,0,4000,1,2.23664072599786,0
69.0427294590045,82,Low,MONSTER,OTHER,Can you wear it?,3,0,4000,1,1.26391328900354,0
82.0487733710033,49,High,PHONE,ARTIFACTS,Does it float in water?,7,0,4000,1,2.03826499500428,0
95.0584347580007,90,Low,BOAT,SPORT+LEISURE,Did humans create it?,5,1,4000,1,2.81286459800322,1
108.049423870005,9,High,SPARROW,ANIMAL,Can you hold it?,4,1,4000,1,1.97262067400152,1
121.040384046006,33,High,UNCLE,FAMILY,Did humans create it?,5,0,4000,1,1.8113850630034,0
134.034536870997,74,Low,ARTIST,OCCUPATION,Can you wear it?,3,0,4000,1,2.14614040098968,0
147.048897515997,13,High,FROG,ANIMAL,Can you find it in the wild?,2,1,4000,1,1.6224410450086,1
160.056778769009,34,Low,GRANDPARENT,FAMILY,Is it alive?,0,1,4000,1,1.67202932700457,1
173.040695802003,38,Low,PASTA,FOOD,Can you eat or drink it?,1,1,4000,1,1.05887405200338,1
186.037464629,37,High,BROCCOLI,FOOD,Does it make sounds?,6,0,4000,1,2.08957132800424,0
199.056909710009,17,High,ASPIRIN,ARTIFACTS,Can you eat or drink it?,1,1,4000,1,0.987023538997164,1
212.042317376996,66,Low,MINERAL,NATURE INANIMATE,Did humans create it?,5,0,4000,0,2.4571317180089,1
225.039059104005,53,High,EARTH,NATURE INANIMATE,Can you find it in the wild?,2,1,4000,0,1.6550587380043,0
238.057793241009,25,High,AXE,ARTIFACTS,Is it alive?,0,0,4000,1,1.03157558399835,0
251.048287074009,57,High,TEA,FOOD,Is it alive?,0,0,4000,1,1.0646947560017,0
264.048422073,70,Low,DOCTOR,OCCUPATION,Does it float in water?,7,1,4000,0,1.19276953100052,0
277.036817878005,30,Low,HAT,CLOTHES+ACCESS,Can you hold it?,4,1,4000,1,1.21769438699994,1
290.061522214004,41,High,COKE,FOOD,Can you eat or drink it?,1,1,4000,1,0.651913462002994,1
303.044148283996,93,High,CHECKERS,SPORT+LEISURE,Can you wear it?,3,0,4000,1,0.938946112000849,0
316.040722214006,14,Low,SPIDER,ANIMAL,Does it float in water?,7,1,4000,0,1.96096700399357,0
329.035012898996,65,High,EARTHQUAKE,NATURE INANIMATE,Is it alive?,0,0,4000,1,0.930014127996401,0
342.049663979007,77,High,BALLERINA,OCCUPATION,Does it make sounds?,6,1,4000,0,1.55053419999604,0
355.045694051005,94,Low,DANCE,SPORT+LEISURE,Can you eat or drink it?,1,0,4000,1,0.947033319986076,0
368.049465289005,26,Low,CONTAINER,ARTIFACTS,Does it make sounds?,6,0,4000,0,2.03924338700017,1
381.057345303998,58,Low,ORGAN,HUMAN PART,Does it make sounds?,6,0,4000,1,2.60143982700538,0
394.045138782996,69,High,GOLD,NATURE INANIMATE,Can you wear it?,3,1,4000,1,1.78958987101214,1
407.040092206997,42,Low,HERB,FOOD,Can you eat or drink it?,1,1,4000,1,0.56945680899662,1
420.042407232002,1,High,BULLDOG,ANIMAL,Does it float in water?,7,0,4000,1,1.61941632800153,0
433.060094518005,85,High,DOLLAR,OTHER,Can you hold it?,4,1,4000,1,1.24288101799903,1
446.053406432999,18,Low,CANDY,FOOD,Does it float in water?,7,0,4000,0,2.2902373830002,1
459.039369000006,54,Low,WINE,FOOD,Does it make sounds?,6,0,4000,1,0.97732295600872,0
472.034446110003,10,Low,LIZARD,ANIMAL,Can you find it in the wild?,2,1,4000,1,0.875170393002918,1
485.054121167006,89,High,SPRING,OTHER,Did humans create it?,5,0,4000,1,2.86010696899029,0
498.053081100006,61,High,PINKIE,HUMAN PART,Can you eat or drink it?,1,0,4000,1,2.19908366099116,0
511.047218688997,81,High,MURDER,OTHER,Can you wear it?,3,0,4000,1,1.25793579799938,0
524.05515967001,6,Low,FISH,ANIMAL,Can you find it in the wild?,2,1,4000,1,1.47218197399343,1
537.057263497001,86,Low,IDEOLOGY,OTHER,Did humans create it?,5,1,4000,1,2.20167005699477,1
550.044667716997,78,Low,EMOTION,OTHER,Can you wear it?,3,0,4000,1,1.2150072910008,0
563.048421699001,73,High,COMEDIAN,OCCUPATION,Does it float in water?,7,1,4000,0,1.15672994099441,0
576.056187973998,50,Low,ALCOHOL,FOOD,Is it alive?,0,0,4000,1,1.3515332750103,0
589.04311518,45,High,KETCHUP,FOOD,Can you hold it?,4,1,4000,0,2.26549156701367,0
602.047610873997,22,Low,COIN,ARTIFACTS,Can you hold it?,4,1,4000,1,0.869502235000255,1
615.060025223996,46,Low,SAUCE,FOOD,Can you find it in the wild?,2,0,4000,1,1.20768009200401,0
