TrialOnset,PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI,Accuracy,RT,Response
4.01728126501257,95,High,NEWSPAPER,SPORT+LEISURE,Did humans create it?,5,1,4000,1,1.08231968099426,1
17.0381903870002,51,High,DAUGHTER,FAMILY,Can you wear it?,3,0,4000,1,1.33993943499809,0
30.0459272310109,60,Low,BONE,HUMAN PART,Does it make sounds?,6,0,4000,0,1.80602757699671,1
43.0295720460126,56,Low,SPICE,FOOD,Can you eat or drink it?,1,1,4000,1,1.06680876099563,1
56.035735559999,75,High,DRUMMER,OCCUPATION,Did humans create it?,5,1,4000,1,1.06922605900036,1
69.0499330020102,68,Low,ELEMENT,NATURE INANIMATE,Does it make sounds?,6,0,4000,0,1.59140998600924,1
82.0436117640056,88,Low,GENRE,OTHER,Did humans create it?,5,1,4000,1,1.15278278500773,1
95.0330648880044,20,Low,APPLIANCE,ARTIFACTS,Does it float in water?,7,0,4000,0,2.40796129300725,1
108.027968586,43,High,BAGEL,FOOD,Can you eat or drink it?,1,1,4000,1,0.639694048993988,1
121.046041279013,55,High,CHEDDAR,FOOD,Can you eat or drink it?,1,1,4000,1,1.08018773699587,1
134.038437290001,4,Low,PET,ANIMAL,Does it float in water?,7,1,4000,1,2.03889818799507,1
147.029830636005,44,Low,SEASONING,FOOD,Can you hold it?,4,1,4000,1,1.31813233799767,1
160.034042457002,8,Low,APE,ANIMAL,Does it float in water?,7,0,4000,1,1.55668152600992,0
173.046223653,59,High,ARM,HUMAN PART,Can you hold it?,4,1,4000,0,0,
186.030155933011,71,High,CHEMIST,OCCUPATION,Can you hold it?,4,0,4000,1,1.76148233001004,0
199.040940820007,24,Low,FABRIC,ARTIFACTS,Can you wear it?,3,1,4000,1,0.871868854010245,1
212.046916990003,67,High,WATER,NATURE INANIMATE,Can you find it in the wild?,2,1,4000,1,1.69584860300529,1
225.040351944001,87,High,UNIVERSITY,OTHER,Can you hold it?,4,0,4000,1,2.50198526300665,0
238.033736479003,92,Low,SPORT,SPORT+LEISURE,Can you hold it?,4,0,4000,1,1.72719975600194,0
251.024982808012,72,Low,POLITICIAN,OCCUPATION,Can you find it in the wild?,2,0,4000,0,2.79186867500539,1
264.043686497011,7,High,COBRA,ANIMAL,Can you find it in the wild?,2,1,4000,1,0.842988005009829,1
277.042285152012,40,Low,MEAT,FOOD,Is it alive?,0,0,4000,0,1.41614921299333,1
290.036076554999,35,High,CAPPUCCINO,FOOD,Can you eat or drink it?,1,1,4000,1,0.860602800996276,1
303.024963514006,32,Low,PARENT,FAMILY,Can you find it in the wild?,2,0,4000,1,2.396653393007,0
316.038951483002,23,High,GUN,ARTIFACTS,Is it alive?,0,0,4000,1,1.12839315799647,0
329.04049797701,28,Low,SHOES,CLOTHES+ACCESS,Can you wear it?,3,1,4000,1,1.24099582100462,1
342.027756954005,31,High,JEANS,CLOTHES+ACCESS,Did humans create it?,5,1,4000,1,0.991173643997172,1
355.044263037009,52,Low,DESSERT,FOOD,Can you eat or drink it?,1,1,4000,1,0.846935202003806,1
368.038332561002,91,High,MARBLE,NATURE INANIMATE,Does it float in water?,7,0,4000,0,2.59531366800366,1
381.040308004012,64,Low,TREE,NATURE INANIMATE,Can you find it in the wild?,2,1,4000,1,1.52582968899515,1
394.026282182007,80,Low,BUILDING,OTHER,Did humans create it?,5,1,4000,1,1.11721516599937,1
407.051344018008,39,High,JADE,NATURE INANIMATE,Does it float in water?,7,0,4000,0,1.8137662030058,1
420.038496405003,63,High,ROSE,NATURE INANIMATE,Does it float in water?,7,1,4000,1,2.53587007601163,1
433.031859799012,27,High,LIPSTICK,ARTIFACTS,Is it alive?,0,0,4000,1,2.18249300499156,0
446.053377476012,84,Low,DISEASE,OTHER,Did humans create it?,5,0,4000,0,2.67956219198823,1
459.038878143008,19,High,RUBY,ARTIFACTS,Does it make sounds?,6,0,4000,1,2.16673605500546,0
472.035469130002,16,Low,UTENSIL,ARTIFACTS,Can you hold it?,4,1,4000,1,1.56865668199316,1
485.03352252701,47,High,WHEAT,FOOD,Can you wear it?,3,0,4000,0,2.08576479600742,1
498.049952354006,36,Low,FRUIT,FOOD,Can you wear it?,3,0,4000,0,1.60993013899133,1
511.042935229008,3,High,PANDA,ANIMAL,Does it make sounds?,6,1,4000,1,1.34751787800633,1
524.037035747999,79,High,ALGEBRA,OTHER,Does it make sounds?,6,0,4000,1,2.85225802101195,0
537.033361236012,96,Low,DRUM,SPORT+LEISURE,Does it make sounds?,6,0,4000,0,0.975046649997239,1
550.043619599004,48,Low,PASTRY,FOOD,Is it alive?,0,0,4000,0,0,
563.042198978001,76,Low,ROYALTY,OCCUPATION,Is it alive?,0,1,4000,1,1.69470455500414,1
576.041185031005,11,High,KANGAROO,ANIMAL,Can you find it in the wild?,2,1,4000,1,1.00099815399153,1
589.051353175004,15,High,TABLE,ARTIFACTS,Is it alive?,0,0,4000,0,0,
602.047822193999,83,High,KITCHEN,OTHER,Can you wear it?,3,0,4000,1,2.4554372279963,0
615.030616210002,12,Low,POULTRY,ANIMAL,Can you eat or drink it?,1,1,4000,0,0,
