TrialOnset,PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI,Accuracy,RT,Response
4.02463044899923,73,High,COMEDIAN,OCCUPATION,Does it float in water?,7,1,4000,0,1.83548989900737,0
17.0643653089937,29,High,PURSE,CLOTHES+ACCESS,Is it alive?,0,0,4000,0,1.5231917189958,1
30.0358150660031,21,High,RING,ARTIFACTS,Can you hold it?,4,1,4000,1,1.49971234399709,1
43.0595813149994,54,Low,WINE,FOOD,Can you wear it?,3,0,4000,0,2.54583384499711,1
56.0466405019979,42,Low,HERB,FOOD,Is it alive?,0,0,4000,0,1.37627152400091,1
69.0487732930051,49,High,PHONE,ARTIFACTS,Did humans create it?,5,1,4000,1,2.54554944600386,1
82.0467182809953,86,Low,IDEOLOGY,OTHER,Can you eat or drink it?,1,0,4000,0,0,
95.055278357002,5,High,MOUSE,ANIMAL,Can you find it in the wild?,2,1,4000,1,2.16958048100059,1
108.039393354004,25,High,AXE,ARTIFACTS,Does it float in water?,7,0,4000,0,0,
121.042621335,70,Low,DOCTOR,OCCUPATION,Did humans create it?,5,1,4000,1,1.79704627800675,1
134.044974977995,93,High,CHECKERS,SPORT+LEISURE,Can you wear it?,3,0,4000,1,1.91214863900677,0
147.047384303005,22,Low,COIN,ARTIFACTS,Can you eat or drink it?,1,0,4000,0,2.24790580300032,1
160.044590876001,9,High,SPARROW,ANIMAL,Can you hold it?,4,1,4000,1,1.6097528179962,1
173.032703744,14,Low,SPIDER,ANIMAL,Can you hold it?,4,1,4000,1,1.17661326400412,1
186.048064478004,94,Low,DANCE,SPORT+LEISURE,Can you wear it?,3,0,4000,0,2.13143741899694,1
199.044218829993,90,Low,BOAT,SPORT+LEISURE,Can you find it in the wild?,2,0,4000,0,0,
212.040705502004,61,High,PINKIE,HUMAN PART,Can you wear it?,3,0,4000,1,1.62933166799485,0
225.046330929996,46,Low,SAUCE,FOOD,Is it alive?,0,0,4000,1,1.88817965998896,0
238.054553359994,13,High,FROG,ANIMAL,Can you hold it?,4,1,4000,0,2.71559817399248,0
251.043156436994,38,Low,PASTA,FOOD,Does it make sounds?,6,0,4000,0,1.39762311900267,1
264.044606031006,34,Low,GRANDPARENT,FAMILY,Is it alive?,0,1,4000,1,1.09764174799784,1
277.044514199006,10,Low,LIZARD,ANIMAL,Can you find it in the wild?,2,1,4000,1,2.15313323200098,1
290.056165053,45,High,KETCHUP,FOOD,Can you eat or drink it?,1,1,4000,1,1.25289284199243,1
303.039739411004,85,High,DOLLAR,OTHER,Does it make sounds?,6,0,4000,0,0,
316.040372721996,50,Low,ALCOHOL,FOOD,Did humans create it?,5,1,4000,1,0.883136906006257,1
329.059094487005,74,Low,ARTIST,OCCUPATION,Did humans create it?,5,1,4000,1,1.55806610800209,1
342.051044028995,89,High,SPRING,OTHER,Can you find it in the wild?,2,1,4000,0,2.68700099700072,0
355.038990529007,81,High,MURDER,OTHER,Does it make sounds?,6,0,4000,0,1.41282858799968,1
368.046197054995,18,Low,CANDY,FOOD,Can you hold it?,4,1,4000,1,1.13971913499699,1
381.052649152,77,High,BALLERINA,OCCUPATION,Did humans create it?,5,1,4000,1,1.93758582101145,1
394.037228738001,66,Low,MINERAL,NATURE INANIMATE,Can you find it in the wild?,2,1,4000,1,1.19519568300166,1
407.047126357997,78,Low,EMOTION,OTHER,Does it make sounds?,6,0,4000,0,1.49588659299479,1
420.029740629994,69,High,GOLD,NATURE INANIMATE,Does it make sounds?,6,0,4000,1,2.07719986099983,0
433.048707260998,1,High,BULLDOG,ANIMAL,Does it float in water?,7,0,4000,0,2.85637696800404,1
446.036189378006,33,High,UNCLE,FAMILY,Did humans create it?,5,0,4000,0,1.9601201589976,1
459.032054957002,58,Low,ORGAN,HUMAN PART,Can you hold it?,4,1,4000,1,1.63382867199834,1
472.058762745,65,High,EARTHQUAKE,NATURE INANIMATE,Can you find it in the wild?,2,1,4000,0,1.97973624199221,0
485.046178997,82,Low,MONSTER,OTHER,Can you eat or drink it?,1,0,4000,0,2.69383487300365,1
498.047816930004,41,High,COKE,FOOD,Can you eat or drink it?,1,1,4000,1,0.914455486010411,1
511.044639486994,26,Low,CONTAINER,ARTIFACTS,Does it float in water?,7,1,4000,1,2.32579029200133,1
524.050012649997,53,High,EARTH,NATURE INANIMATE,Can you wear it?,3,0,4000,1,1.89973434699641,0
537.042822646996,57,High,TEA,FOOD,Can you eat or drink it?,1,1,4000,1,1.89011906100495,1
550.035561627999,6,Low,FISH,ANIMAL,Does it make sounds?,6,0,4000,0,1.21233972501068,1
563.029865307006,17,High,ASPIRIN,ARTIFACTS,Is it alive?,0,0,4000,1,2.05385182000464,0
576.055725914004,30,Low,HAT,CLOTHES+ACCESS,Can you wear it?,3,1,4000,1,0.977640626995708,1
589.048212623995,2,Low,INSECT,ANIMAL,Does it float in water?,7,1,4000,1,2.40432245300326,1
602.038302215995,37,High,BROCCOLI,FOOD,Is it alive?,0,0,4000,0,1.99724432099902,1
615.045316493997,62,Low,MUSCLE,HUMAN PART,Does it float in water?,7,0,4000,0,0,
